ESTIMATED_CO2_TOTAL_TONNES,OAG_SCHEDULE_FINGERPRINT,DEPCTRY,ARRCTRY,ELPTIM,STOPS,DISTANCE
28.122,c98d6c8913aee5fc4fb818ee30a11c7db21639eb4dfddd793a8d2da609b75e67,RU,TR,430,0,1701
4.95,8af73edb43487f2281a51b615284351250f0ed54133cb48b4c922191ff8749f4,NZ,NF,245,0,678
1.43,92f6868b2f19f58c6dbaa2507eccbcaf0a648a9d1786246b9138a3bc78071765,NZ,NZ,115,0,269
35.642,44ecffd69dde3fdca6969c521084e380e9d654b0616434ddfb6d422c4da23f6e,SG,CN,450,0,2019
12.384,5d01c781e57279e87d49db1dd780b3cc30906cfd162ebf749f9d46db7b5fcd54,CN,CN,155,0,610
13.103,9bdd1fbd5994e7b635dca88dc9404e906cd553d4229fe3eecb6d104abb71ad6f,CN,CN,205,0,730
,23655f480e5596f1a9f85ecfb503cd328488735c9092bce198bc71cb972292f6,ES,ES,415,0,178
64.662,e14b8eeefeb9562344e52c3161e71ab20c89987f89a4af571df3666b5e3e2553,KR,PH,415,0,1621
13.895,f0e131c2e4271bd7c11baeb8430974d6cdd155596c14c20e029462dae0618df1,PH,HK,255,0,1063
7.378,d52ec9b7c861e06b135df108881e1dd91c6870a7b83f244932657d06731202be,PH,PH,130,0,352
302.085,a5f487385aef5418fd158cf739bb7f6027f5d5489eb0b963d5179e472ce16e1d,CN,US,955,0,4054
320.283,f4821e6a0e079c83cecf332cda84c12253ae18bc8d33f96a992c64cc59e57a9f,CN,US,1030,0,4354
293.681,1b8c188ac11466710fd39a4cd91d664fa8b6b0169c1a9fd10addc28554d0257f,HK,US,1050,0,5073
29.523,786ba8ab413183ce76346b0963187b06d08708544348c6b3105669cf5e2a6187,IN,TH,425,0,1865
18.449,7239aad4a1df3485789ea0ca5aff6b3aa067bf93e87e2e7a60af171c3c4c0fd8,KW,IN,325,0,1584
11.614,cfbf3aadb70d63055db89afe44a01adf97b613515c9d136b89b668210f66c32b,IN,IN,200,0,642
22.16,bb1efed300307e2f3184d4373202400aeae5f4655f55e89d94a7ff895054cf01,IN,AE,430,0,1827
17.985,3f4e7fec77900e9ab8177e75ef29b30b66ef91ffd34f886f08ee5ca93cfe779a,IN,IN,245,0,1063
9.278,c619d02293f1cac353e09c4285f51e1f0e030fb6153de321db9a1533d83ce061,AU,AU,125,0,438
10.185,13889ac3d9b04be808cbf06a03e47b7aa91ad80ae0bd297e754f6c282c9ded3e,AU,AU,135,0,468
10.038,f7ef98411b9a4a882f2d33a79e746c3af72781d3a950d9a748c833cddb1218f6,AU,AU,135,0,438
88.838,1169209f4bd1f1512398eb8a933db90c181e3a0099b0ecea6d67d974e7aa4081,AU,AU,450,0,2036
15.736,600c6eb0a079e3bd44d99d628890edc3c3f9bdb60e53a45c69c3d0206c4d8cc0,AU,AU,215,0,858
